Date,Block,Demand
01-09-2022,5,5005
01-09-2022,6,5244
01-09-2022,7,5273
01-09-2022,8,5153
01-09-2022,9,5088
01-09-2022,10,5134
01-09-2022,11,5082
01-09-2022,12,5123
01-09-2022,13,5699
01-09-2022,14,5118
01-09-2022,15,5114
01-09-2022,16,5129
01-09-2022,17,5099
01-09-2022,18,5147
01-09-2022,19,5158
01-09-2022,20,5165
01-09-2022,21,5144
01-09-2022,22,4963
01-09-2022,23,5315.75
01-09-2022,24,5086
01-09-2022,25,5156
01-09-2022,26,5138
01-09-2022,27,4954
01-09-2022,28,4895
01-09-2022,29,4722
01-09-2022,30,4850
01-09-2022,31,4527
01-09-2022,32,4512
01-09-2022,33,4510
01-09-2022,34,4680.375
01-09-2022,35,4566
01-09-2022,36,4527
01-09-2022,37,4662
01-09-2022,38,4633
01-09-2022,39,4690
01-09-2022,40,4709
01-09-2022,41,4717
01-09-2022,42,4647
01-09-2022,43,4762
01-09-2022,44,4782
01-09-2022,45,4815
01-09-2022,46,4736
01-09-2022,47,4797.625
01-09-2022,48,4768
01-09-2022,49,4759
01-09-2022,50,4975
01-09-2022,51,4790
01-09-2022,52,4847
01-09-2022,53,4843
01-09-2022,54,4868.5625
01-09-2022,55,4704
01-09-2022,56,4931
01-09-2022,57,4929
01-09-2022,58,4922
01-09-2022,59,4919
01-09-2022,60,4945
01-09-2022,61,4830
01-09-2022,62,4829
01-09-2022,63,4767
01-09-2022,64,4770
01-09-2022,65,4827
01-09-2022,66,4703.75
01-09-2022,67,4804
01-09-2022,68,4704
01-09-2022,69,4661
01-09-2022,70,4783
01-09-2022,71,4815
01-09-2022,72,4758
01-09-2022,73,5165
01-09-2022,74,5342
01-09-2022,75,5011
01-09-2022,76,5446.5
01-09-2022,77,5381.25
01-09-2022,78,5157
01-09-2022,79,5175
01-09-2022,80,5172
01-09-2022,81,5126
01-09-2022,82,5385
01-09-2022,83,5401
01-09-2022,84,5373
01-09-2022,85,5382
01-09-2022,86,5430
01-09-2022,87,5504
01-09-2022,88,5428
01-09-2022,89,5513
01-09-2022,90,5588
01-09-2022,91,5443
01-09-2022,92,5453
01-09-2022,93,5772
01-09-2022,94,5841
01-09-2022,95,5862
01-09-2022,96,5782
01-09-2022,1,17367
01-09-2022,2,17211
01-09-2022,3,16920
01-09-2022,4,16924
01-09-2022,5,16775
01-09-2022,6,16672
01-09-2022,7,16458
01-09-2022,8,16463
01-09-2022,9,16311
01-09-2022,10,16189
01-09-2022,11,15993
01-09-2022,12,15807
01-09-2022,13,15714
01-09-2022,14,15595
01-09-2022,15,15725
01-09-2022,16,15614
01-09-2022,17,15804
01-09-2022,18,15828
01-09-2022,19,16177
01-09-2022,20,16216
01-09-2022,21,16369
01-09-2022,22,16631
01-09-2022,23,20958.9375
01-09-2022,24,21142.25
01-09-2022,25,17813
01-09-2022,26,18340
01-09-2022,27,18616
01-09-2022,28,18836
01-09-2022,29,18825
01-09-2022,30,21883.25
01-09-2022,31,21952.75
01-09-2022,32,19187
01-09-2022,33,19158
01-09-2022,34,19287
01-09-2022,35,19510
01-09-2022,36,19302
01-09-2022,37,19470
01-09-2022,38,19391
01-09-2022,39,19626
01-09-2022,40,19732
01-09-2022,41,19776
01-09-2022,42,22574.75
01-09-2022,43,22707.75
01-09-2022,44,20389
01-09-2022,45,20397
01-09-2022,46,20393
01-09-2022,47,23001.4375
01-09-2022,48,22917.4375
01-09-2022,49,19887
01-09-2022,50,20006
01-09-2022,51,19856
01-09-2022,52,19958
01-09-2022,53,19765
01-09-2022,54,22208.375
01-09-2022,55,22040.01563
01-09-2022,56,19896
